Model,RMSE,R2,Month,Target,FeatureSet
Persist,8664.179814446361,0.5848598795530353,2,RAIN,PRIMARY_1_12
Ridge,10554.025033527256,0.3771803286549009,2,RAIN,PRIMARY_1_12
RF,11649.489801518737,0.24117803753572342,2,RAIN,PRIMARY_1_12
HGB,12228.835319621825,0.1638267416779039,2,RAIN,PRIMARY_1_12
GlobalClim,13560.276232112396,-0.028165800710014066,2,RAIN,PRIMARY_1_12
DeptClim,14682.482864897283,-0.20538306742167012,2,RAIN,PRIMARY_1_12
RF,5120.596662065671,0.1640416810703179,3,RAIN,PRIMARY_1_12
Ridge,5236.848810422605,0.1256535358129156,3,RAIN,PRIMARY_1_12
HGB,5510.207550600306,0.03199098587940519,3,RAIN,PRIMARY_1_12
GlobalClim,5960.488899444219,-0.13268005547489414,3,RAIN,PRIMARY_1_12
DeptClim,6740.721507584804,-0.4486259334954945,3,RAIN,PRIMARY_1_12
Persist,10913.17730379995,-2.78593072853444,3,RAIN,PRIMARY_1_12
RF,5399.767037390943,0.09561038668095878,4,RAIN,PRIMARY_1_12
HGB,5708.8644549248465,-0.01089251879921238,4,RAIN,PRIMARY_1_12
GlobalClim,6012.635775335633,-0.12133483051469085,4,RAIN,PRIMARY_1_12
DeptClim,6684.046788273648,-0.3857487058432023,4,RAIN,PRIMARY_1_12
Persist,7585.664721806206,-0.7728627617908495,4,RAIN,PRIMARY_1_12
Ridge,7751.595996435516,-0.8637505240731764,4,RAIN,PRIMARY_1_12
Persist,7481.225648608065,0.5358493113992926,5,RAIN,PRIMARY_1_12
RF,10875.091085915545,0.007275886213298777,5,RAIN,PRIMARY_1_12
GlobalClim,11195.28458799243,-0.05204190961085953,5,RAIN,PRIMARY_1_12
HGB,11268.968945576307,-0.06593599803338979,5,RAIN,PRIMARY_1_12
DeptClim,12138.433402638102,-0.23676744457319643,5,RAIN,PRIMARY_1_12
Ridge,15387.702242864005,-0.9875145327800705,5,RAIN,PRIMARY_1_12
Ridge,6437.371187887415,0.617271606664223,6,RAIN,PRIMARY_1_12
Persist,7431.931263565276,0.49161366301187237,6,RAIN,PRIMARY_1_12
RF,7484.85268242601,0.4825837162665554,6,RAIN,PRIMARY_1_12
HGB,9337.029467312372,0.1948235994866967,6,RAIN,PRIMARY_1_12
GlobalClim,10683.6300118344,-0.054171467608337354,6,RAIN,PRIMARY_1_12
DeptClim,11797.177913923799,-0.2853749640874981,6,RAIN,PRIMARY_1_12
Persist,9002.062625023653,0.6457904361933566,7,RAIN,PRIMARY_1_12
Ridge,9958.040916467527,0.5616038340662242,7,RAIN,PRIMARY_1_12
RF,11437.554832962878,0.42165722731041977,7,RAIN,PRIMARY_1_12
HGB,12848.838488034624,0.27012804823583225,7,RAIN,PRIMARY_1_12
GlobalClim,15274.839910512588,-0.03150721257128897,7,RAIN,PRIMARY_1_12
DeptClim,16707.92217816759,-0.23413827626278372,7,RAIN,PRIMARY_1_12
Ridge,7349.733239397965,0.7892081279150657,8,RAIN,PRIMARY_1_12
Persist,8137.816337300726,0.7428908474689074,8,RAIN,PRIMARY_1_12
RF,12272.73664057506,0.41224878235100837,8,RAIN,PRIMARY_1_12
HGB,15261.227616694478,0.09115536599108032,8,RAIN,PRIMARY_1_12
GlobalClim,16248.190252491147,-0.030197992244964444,8,RAIN,PRIMARY_1_12
DeptClim,17713.9229279473,-0.2244476142905194,8,RAIN,PRIMARY_1_12
Persist,10667.20139513697,0.7307701838652801,9,RAIN,PRIMARY_1_12
Ridge,15194.115494480071,0.44640764096289365,9,RAIN,PRIMARY_1_12
RF,17629.307512958963,0.2547366792391932,9,RAIN,PRIMARY_1_12
HGB,18262.368668839554,0.20025146689142237,9,RAIN,PRIMARY_1_12
GlobalClim,20697.847003787185,-0.027281779647596593,9,RAIN,PRIMARY_1_12
DeptClim,22543.660788414938,-0.2186756190637904,9,RAIN,PRIMARY_1_12
RF,13343.181235916692,0.04200933111029237,10,RAIN,PRIMARY_1_12
HGB,13600.28817810622,0.00473500248047698,10,RAIN,PRIMARY_1_12
GlobalClim,14074.622262613215,-0.06589887802677219,10,RAIN,PRIMARY_1_12
Persist,14434.841862478215,-0.1099427875446819,10,RAIN,PRIMARY_1_12
Ridge,15562.549197658844,-0.3031787325217157,10,RAIN,PRIMARY_1_12
DeptClim,16642.247016498128,-0.49027507105531964,10,RAIN,PRIMARY_1_12
Persist,15844.001304241268,0.07187089638728728,11,RAIN,PRIMARY_1_12
HGB,16800.286797924764,-0.046979281799471195,11,RAIN,PRIMARY_1_12
GlobalClim,16890.538135752573,-0.058258266037635176,11,RAIN,PRIMARY_1_12
RF,16915.3918380646,-0.06137492064819705,11,RAIN,PRIMARY_1_12
Ridge,18202.10593350771,-0.22898893149965893,11,RAIN,PRIMARY_1_12
DeptClim,19744.18837253515,-0.44604986112802414,11,RAIN,PRIMARY_1_12
Persist,10305.640069743944,0.5808460172634344,12,RAIN,PRIMARY_1_12
RF,16010.98696683566,-0.011718902643032436,12,RAIN,PRIMARY_1_12
GlobalClim,16302.66011949471,-0.04891574633247475,12,RAIN,PRIMARY_1_12
