Year,Model,RMSE,Month,Target,FeatureSet
2001,GlobalClim,2968.4726284711637,2,RAIN,PRIMARY_1_12
2001,DeptClim,1942.5148775561074,2,RAIN,PRIMARY_1_12
2001,Persist,865.2180855834304,2,RAIN,PRIMARY_1_12
2001,Ridge,4441.802556411807,2,RAIN,PRIMARY_1_12
2001,RF,849.829468410821,2,RAIN,PRIMARY_1_12
2001,HGB,655.7002030636363,2,RAIN,PRIMARY_1_12
2002,GlobalClim,2220.547958033425,2,RAIN,PRIMARY_1_12
2002,DeptClim,1380.9800008491402,2,RAIN,PRIMARY_1_12
2002,Persist,639.374689263852,2,RAIN,PRIMARY_1_12
2002,Ridge,3982.3218517387472,2,RAIN,PRIMARY_1_12
2002,RF,1011.455127361661,2,RAIN,PRIMARY_1_12
2002,HGB,885.062265929758,2,RAIN,PRIMARY_1_12
2003,GlobalClim,14076.559898244881,2,RAIN,PRIMARY_1_12
2003,DeptClim,1508.139583401142,2,RAIN,PRIMARY_1_12
2003,Persist,3155.6307094532667,2,RAIN,PRIMARY_1_12
2003,Ridge,24335.083749965313,2,RAIN,PRIMARY_1_12
2003,RF,11206.490842911022,2,RAIN,PRIMARY_1_12
2003,HGB,23103.113922111585,2,RAIN,PRIMARY_1_12
2004,GlobalClim,9103.889107314459,2,RAIN,PRIMARY_1_12
2004,DeptClim,1600.9586771346,2,RAIN,PRIMARY_1_12
2004,Persist,3183.520898426753,2,RAIN,PRIMARY_1_12
2004,Ridge,16412.629280753237,2,RAIN,PRIMARY_1_12
2004,RF,6859.100465460798,2,RAIN,PRIMARY_1_12
2004,HGB,15383.171692423874,2,RAIN,PRIMARY_1_12
2005,GlobalClim,6030.18556042434,2,RAIN,PRIMARY_1_12
2005,DeptClim,4124.78911874515,2,RAIN,PRIMARY_1_12
2005,Persist,3039.2836586539925,2,RAIN,PRIMARY_1_12
2005,Ridge,9571.07840442308,2,RAIN,PRIMARY_1_12
2005,RF,6691.6678380980775,2,RAIN,PRIMARY_1_12
2005,HGB,9078.732719274582,2,RAIN,PRIMARY_1_12
2006,GlobalClim,3408.8409773461462,2,RAIN,PRIMARY_1_12
2006,DeptClim,6236.414654674369,2,RAIN,PRIMARY_1_12
2006,Persist,3187.8557649718036,2,RAIN,PRIMARY_1_12
2006,Ridge,3643.623126534156,2,RAIN,PRIMARY_1_12
2006,RF,3667.0097924933475,2,RAIN,PRIMARY_1_12
2006,HGB,2014.3649146342168,2,RAIN,PRIMARY_1_12
2007,GlobalClim,4463.522252385507,2,RAIN,PRIMARY_1_12
2007,DeptClim,7866.714337613177,2,RAIN,PRIMARY_1_12
2007,Persist,3604.2694344788165,2,RAIN,PRIMARY_1_12
2007,Ridge,2375.995358651983,2,RAIN,PRIMARY_1_12
2007,RF,2265.2831484862786,2,RAIN,PRIMARY_1_12
2007,HGB,2470.9053621095964,2,RAIN,PRIMARY_1_12
2008,GlobalClim,4899.129204838234,2,RAIN,PRIMARY_1_12
2008,DeptClim,8613.679593052728,2,RAIN,PRIMARY_1_12
2008,Persist,3905.7179802214782,2,RAIN,PRIMARY_1_12
2008,Ridge,3458.08046753554,2,RAIN,PRIMARY_1_12
2008,RF,2483.76114092298,2,RAIN,PRIMARY_1_12
2008,HGB,2725.80613906532,2,RAIN,PRIMARY_1_12
2009,GlobalClim,4786.219834266472,2,RAIN,PRIMARY_1_12
2009,DeptClim,8193.793079990965,2,RAIN,PRIMARY_1_12
2009,Persist,3574.1659702077495,2,RAIN,PRIMARY_1_12
2009,Ridge,1894.7201314550027,2,RAIN,PRIMARY_1_12
2009,RF,1406.116132674024,2,RAIN,PRIMARY_1_12
2009,HGB,1946.8158977472344,2,RAIN,PRIMARY_1_12
2010,GlobalClim,5037.323036857588,2,RAIN,PRIMARY_1_12
2010,DeptClim,8471.508643381214,2,RAIN,PRIMARY_1_12
2010,Persist,3682.6659964839087,2,RAIN,PRIMARY_1_12
